"city","state","comercio","industria","servicos","agro","construcao"
"ABAETETUBA","PA","3","0","0","0","0"
"ABELARDO LUZ","SC","0","0","2","0","0"
"ACAILANDIA","MA","1","1","0","0","0"
"ACREUNA","GO","1","0","1","0","0"
"ADAMANTINA","SP","1","0","1","0","0"
"AGRESTINA","PE","0","1","0","0","0"
"AGUA AZUL DO NORTE","PA","0","0","0","0","1"
"AGUA BRANCA","AL","1","0","0","0","0"
"AGUAS LINDAS DE GOIAS","GO","2","0","1","0","0"
"ALAGOINHAS","BA","2","0","3","0","0"
"ALEM PARAIBA","MG","1","0","0","0","0"
"ALFENAS","MG","1","0","0","0","3"
"ALFREDO CHAVES","ES","1","0","2","0","0"
"ALMENARA","MG","0","0","3","0","0"
"ALMIRANTE TAMANDARE","PR","2","0","1","0","0"
"ALPINOPOLIS","MG","1","0","0","0","0"
"ALTA FLORESTA","MT","0","0","1","0","0"
"ALTEROSA","MG","1","0","0","0","0"
"ALTO ALEGRE DO PINDARE","MA","0","0","1","0","0"
"ALTO ARAGUAIA","MT","1","0","0","0","0"
"ALTO HORIZONTE","GO","1","0","0","0","0"
"ALTO LONGA","PI","1","0","0","0","0"
"ALVARES FLORENCE","SP","2","0","0","0","0"
"ALVORADA","RS","3","2","1","0","0"
"ALVORADA DO SUL","PR","1","0","0","0","0"
"AMAMBAI","MS","0","0","1","0","0"
"AMAPA","AP","1","0","0","0","0"
"AMARGOSA","BA","1","0","0","0","0"
"AMELIA RODRIGUES","BA","0","0","1","0","0"
"AMERICANA","SP","7","2","6","0","0"
"AMERICO BRASILIENSE","SP","0","0","1","0","0"
"AMONTADA","CE","0","0","1","0","0"
"AMPARO","SP","2","1","2","0","0"
"ANAGE","BA","0","0","1","0","0"
"ANANINDEUA","PA","18","4","7","0","1"
"ANAPOLIS","GO","5","0","2","0","0"
"ANAPU","PA","2","0","0","0","0"
"ANDARAI","BA","1","0","0","0","0"
"ANDRADINA","SP","0","0","1","0","0"
"ANGATUBA","SP","6","0","0","0","0"
"ANGICOS","RN","1","0","0","0","0"
"ANGRA DOS REIS","RJ","2","0","0","0","0"
"ANORI","AM","1","0","0","0","0"
"APARECIDA DE GOIANIA","GO","9","1","11","0","0"
"APARECIDA DO RIO DOCE","GO","1","0","0","0","0"
"APERIBE","RJ","0","1","0","0","0"
"APODI","RN","0","1","0","0","0"
"APUCARANA","PR","0","1","1","0","0"
"APUI","AM","1","0","0","0","0"
"AQUIDAUANA","MS","1","0","0","0","0"
"AQUIRAZ","CE","0","0","0","0","1"
"ARACAJU","SE","5","0","8","0","3"
"ARACATU","BA","1","0","0","0","0"
"ARACATUBA","SP","8","0","0","0","0"
"ARACOIABA DA SERRA","SP","2","0","0","0","0"
"ARACRUZ","ES","1","0","0","0","0"
"ARAGARCAS","GO","1","0","0","0","0"
"ARAGUAINA","TO","3","0","3","0","0"
"ARAGUARI","MG","0","0","2","0","0"
"ARAMARI","BA","0","0","1","0","0"
"ARAPIRACA","AL","0","0","1","0","0"
"ARAPONGAS","PR","1","1","2","0","0"
"ARAQUARI","SC","0","0","1","0","0"
"ARARANGUA","SC","2","0","0","0","1"
"ARARAQUARA","SP","7","0","1","0","1"
"ARARAS","SP","4","0","0","0","0"
"ARARI","MA","1","0","0","0","0"
"ARARIPINA","PE","1","0","0","0","0"
"ARARUAMA","RJ","2","0","1","0","0"
"ARAUCARIA","PR","2","0","3","0","1"
"ARAXA","MG","1","0","2","0","0"
"ARCOS","MG","1","0","0","0","0"
"ARCOVERDE","PE","1","0","1","0","0"
"ARIPUANA","MT","2","0","0","0","0"
"ARMACAO DOS BUZIOS","RJ","2","0","3","0","0"
"AROEIRAS","PB","0","0","3","0","0"
"ARRAIAL DO CABO","RJ","0","0","1","0","0"
"ARROIO DO MEIO","RS","1","0","0","0","0"
"ARTUR NOGUEIRA","SP","3","0","0","0","0"
"ARUJA","SP","1","0","2","0","1"
"ASSIS","SP","2","0","2","0","0"
"ASTOLFO DUTRA","MG","1","0","0","0","0"
"ATIBAIA","SP","5","1","1","0","0"
"AUGUSTO PESTANA","RS","0","0","2","0","0"
"AURIFLAMA","SP","0","0","3","0","0"
"AURORA","SC","2","0","0","0","0"
"AUTAZES","AM","0","1","1","0","0"
"AVARE","SP","4","0","1","0","0"
"AVELINO LOPES","PI","1","0","0","0","0"
"BACABAL","MA","0","0","1","0","0"
"BAGE","RS","1","0","0","0","0"
"BAIANOPOLIS","BA","1","0","0","0","0"
"BAIXA GRANDE DO RIBEIRO","PI","2","0","0","0","0"
"BALNEARIO CAMBORIU","SC","8","1","5","0","3"
"BALSAS","MA","5","0","2","0","0"
"BAMBUI","MG","1","0","0","0","0"
"BANDEIRANTES","PR","0","0","1","0","0"
"BARAUNA","RN","0","0","2","0","0"
"BARBACENA","MG","0","1","0","0","0"
"BARBALHA","CE","0","0","1","0","1"
"BARCARENA","PA","2","0","1","0","1"
"BARIRI","SP","3","0","1","0","0"
"BARRA BONITA","SP","1","0","1","0","1"
"BARRACAO","PR","1","0","0","0","0"
"BARRA DO CHOCA","BA","0","0","1","0","0"
"BARRA DO CORDA","MA","1","0","0","0","0"
"BARRA DO GARCAS","MT","0","0","2","0","0"
"BARRA DO PIRAI","RJ","0","0","1","0","0"
"BARRA MANSA","RJ","0","1","1","0","0"
"BARRA VELHA","SC","0","1","0","0","0"
"BARREIRAS","BA","5","0","1","0","0"
"BARRETOS","SP","4","4","0","0","0"
"BARRINHA","SP","1","0","0","0","0"
"BARUERI","SP","9","1","13","0","0"
"BASTOS","SP","1","0","0","0","0"
"BATAGUASSU","MS","0","0","1","0","0"
"BATURITE","CE","0","0","1","0","0"
"BAURU","SP","12","2","3","0","0"
"BEBEDOURO","SP","2","0","0","0","0"
"BEBERIBE","CE","2","0","0","0","0"
"BELA VISTA","MS","1","0","0","0","0"
"BELEM","PA","22","0","15","0","1"
"BELEM","PB","1","0","0","0","0"
"BELFORD ROXO","RJ","3","0","6","0","0"
"BELMONTE","BA","1","0","0","0","0"
"BELO HORIZONTE","MG","42","8","54","0","6"
"BELO JARDIM","PE","1","0","2","0","0"
"BENEDITINOS","PI","1","0","0","0","0"
"BENEVIDES","PA","1","0","0","0","0"
"BENJAMIN CONSTANT","AM","1","0","0","0","0"
"BENTO GONCALVES","RS","1","0","3","0","0"
"BERNARDINO DE CAMPOS","SP","1","0","0","0","0"
"BERTIOGA","SP","0","0","1","0","0"
"BETIM","MG","5","2","3","0","3"
"BICAS","MG","1","0","0","0","0"
"BIGUACU","SC","3","1","0","0","0"
"BIRIGUI","SP","4","4","1","0","0"
"BLUMENAU","SC","5","1","7","0","1"
"BOA ESPERANCA","MG","1","0","0","0","0"
"BOA ESPERANCA DO SUL","SP","0","1","0","0","0"
"BOA VISTA","RR","4","2","7","1","2"
"BOA VISTA DAS MISSOES","RS","1","0","0","0","0"
"BOA VISTA DO TUPIM","BA","2","0","0","0","0"
"BOCA DO ACRE","AM","0","0","1","0","0"
"BOFETE","SP","2","0","0","0","0"
"BOITUVA","SP","1","1","0","0","0"
"BOMBINHAS","SC","1","0","0","0","0"
"BOM DESPACHO","MG","1","0","2","0","0"
"BOM JARDIM","PE","0","1","0","0","0"
"BOM JESUS","PI","1","0","1","0","0"
"BOM JESUS DA LAPA","BA","1","0","0","0","0"
"BOM JESUS DO NORTE","ES","1","0","0","0","0"
"BOM JESUS DOS PERDOES","SP","3","1","0","0","0"
"BORACEIA","SP","0","1","0","0","0"
"BORBA","AM","0","0","1","0","0"
"BORBOREMA","PB","2","0","0","0","0"
"BORBOREMA","SP","1","0","1","0","0"
"BOTUCATU","SP","5","0","0","0","0"
"BRACO DO NORTE","SC","1","0","0","0","0"
"BRAGANCA PAULISTA","SP","2","2","7","0","0"
"BRASILEIA","AC","2","0","0","0","0"
"BRASILIA","DF","46","13","86","0","8"
"BREJOES","BA","1","0","0","0","0"
"BREU BRANCO","PA","7","0","0","0","0"
"BREVES","PA","3","0","2","0","0"
"BRITANIA","GO","0","0","3","0","0"
"BRODOWSKI","SP","1","0","0","0","0"
"BRUMADO","BA","0","0","0","0","1"
"BRUSQUE","SC","2","0","2","0","0"
"BURITI BRAVO","MA","0","0","1","0","0"
"BURITICUPU","MA","1","1","0","0","0"
"BURITIRAMA","BA","1","0","0","0","0"
"BURITIS","RO","0","0","1","0","0"
"CAARAPO","MS","1","0","0","0","0"
"CABO DE SANTO AGOSTINHO","PE","2","0","0","0","0"
"CABO FRIO","RJ","2","1","8","0","0"
"CABREUVA","SP","1","1","0","0","0"
"CABROBO","PE","0","0","2","0","0"
"CACADOR","SC","0","0","1","0","0"
"CACAPAVA","SP","0","0","1","0","0"
"CACERES","MT","1","0","0","0","0"
"CACHOEIRA DO SUL","RS","0","0","2","0","0"
"CACHOEIRA PAULISTA","SP","0","0","1","0","0"
"CACHOEIRAS DE MACACU","RJ","0","0","2","0","0"
"CACHOEIRINHA","RS","2","2","2","0","0"
"CACHOEIRO DE ITAPEMIRIM","ES","3","0","0","0","0"
"CACOAL","RO","2","0","0","0","0"
"CACONDE","SP","1","0","0","0","0"
"CACULE","BA","1","0","0","0","0"
"CAETE","MG","1","0","0","0","0"
"CAETITE","BA","0","0","1","0","0"
"CAFELANDIA","PR","0","1","0","0","0"
"CAICO","RN","2","0","0","0","0"
"CAIEIRAS","SP","1","1","2","0","0"
"CAIRU","BA","2","0","2","0","0"
"CAJAMAR","SP","2","0","1","0","0"
"CAJAZEIRAS","PB","1","0","0","0","0"
"CAJUEIRO DA PRAIA","PI","1","0","0","0","0"
"CAJURU","SP","1","0","0","0","0"
"CALDAS NOVAS","GO","4","0","4","0","0"
"CAMACARI","BA","4","0","5","0","1"
"CAMAMU","BA","0","1","0","0","0"
"CAMANDUCAIA","MG","2","0","0","0","0"
"CAMAQUA","RS","0","0","2","0","0"
"CAMARAGIBE","PE","1","0","1","0","0"
"CAMBE","PR","2","4","0","0","1"
"CAMBIRA","PR","1","0","0","0","0"
"CAMBORIU","SC","1","0","1","0","0"
"CAMBUI","MG","1","0","0","0","0"
"CAMBUQUIRA","MG","0","1","0","0","0"
"CAMPESTRE DO MARANHAO","MA","1","0","0","0","0"
"CAMPINACU","GO","1","0","0","0","0"
"CAMPINA GRANDE","PB","6","0","4","0","0"
"CAMPINA GRANDE DO SUL","PR","2","0","1","0","0"
"CAMPINAS","SP","20","0","32","0","7"
"CAMPO ALEGRE DO FIDALGO","PI","1","0","0","0","0"
"CAMPO BELO","MG","7","0","0","0","0"
"CAMPO BOM","RS","1","1","1","0","0"
"CAMPO DO BRITO","SE","0","0","0","0","2"
"CAMPO DO MEIO","MG","0","1","0","0","0"
"CAMPO FORMOSO","BA","0","0","2","0","0"
"CAMPO GRANDE","MS","24","8","28","0","2"
"CAMPO LARGO","PR","3","1","0","0","0"
"CAMPO LIMPO PAULISTA","SP","2","0","1","0","0"
"CAMPO MOURAO","PR","4","0","1","0","0"
"CAMPO NOVO DO PARECIS","MT","2","0","0","0","0"
"CAMPOS DO JORDAO","SP","3","0","0","0","0"
"CAMPOS DOS GOYTACAZES","RJ","1","1","1","0","0"
"CAMPOS LINDOS","TO","3","0","0","0","0"
"CAMPO VERDE","MT","0","0","1","0","0"
"CANAA DOS CARAJAS","PA","1","0","1","0","0"
"CANANEIA","SP","0","0","1","0","0"
"CANARANA","BA","0","0","2","0","0"
"CANDEIAS","BA","0","0","0","0","1"
"CANDIBA","BA","1","0","0","0","0"
"CANDIDO MOTA","SP","0","1","0","0","0"
"CANDIDO SALES","BA","2","0","0","0","0"
"CANELA","RS","2","0","2","0","0"
"CANINDE","CE","2","0","1","0","0"
"CANOAS","RS","9","2","4","0","0"
"CANTAGALO","RJ","0","1","0","0","0"
"CANUTAMA","AM","1","0","0","0","0"
"CAPAO DA CANOA","RS","1","0","0","0","2"
"CAPELINHA","MG","4","0","0","0","0"
"CAPIM GROSSO","BA","1","0","0","0","0"
"CAPINOPOLIS","MG","2","0","0","0","0"
"CAPITOLIO","MG","0","0","0","0","1"
"CAPIVARI DE BAIXO","SC","0","1","3","0","0"
"CARAA","RS","0","1","0","0","0"
"CARAGUATATUBA","SP","4","2","4","0","0"
"CARAPICUIBA","SP","4","1","5","0","0"
"CARATINGA","MG","0","0","1","0","1"
"CARAZINHO","RS","1","0","1","0","0"
"CARIACICA","ES","1","1","2","0","0"
"CARIDADE","CE","2","0","0","0","0"
"CARINHANHA","BA","0","1","2","0","0"
"CARLOS BARBOSA","RS","1","0","0","0","0"
"CARUARU","PE","7","1","2","0","0"
"CASCAVEL","CE","1","0","0","0","0"
"CASCAVEL","PR","5","2","4","0","3"
"CASIMIRO DE ABREU","RJ","0","0","4","0","0"
"CASSILANDIA","MS","0","0","1","0","0"
"CASTANHAL","PA","2","2","1","0","1"
"CASTANHEIRA","MT","0","0","2","0","0"
"CASTELANDIA","GO","0","0","1","0","0"
"CASTELO","ES","3","1","2","0","0"
"CATAGUASES","MG","1","0","1","0","0"
"CATALAO","GO","3","0","0","0","0"
"CATANDUVA","SP","0","0","1","0","0"
"CATAS ALTAS","MG","1","0","0","0","0"
"CATU","BA","3","0","0","0","0"
"CAUCAIA","CE","5","2","6","0","0"
"CAVALCANTE","GO","1","0","0","0","0"
"CAXAMBU","MG","0","1","0","0","0"
"CAXIAS","MA","0","0","3","0","0"
"CAXIAS DO SUL","RS","4","3","14","0","1"
"CEDRAL","SP","1","0","0","0","0"
"CERES","GO","1","0","0","0","0"
"CERRO CORA","RN","0","0","0","0","1"
"CEZARINA","GO","0","0","2","0","0"
"CHAPADAO DO CEU","GO","1","0","0","0","0"
"CHAPADAO DO SUL","MS","1","0","0","0","0"
"CHAPADINHA","MA","1","0","0","0","0"
"CHAPECO","SC","2","3","2","0","3"
"CHARQUEADAS","RS","2","0","0","0","0"
"CHOROZINHO","CE","0","0","1","0","0"
"CHUI","RS","1","0","0","0","0"
"CIANORTE","PR","2","0","2","0","1"
"CIDADE OCIDENTAL","GO","0","0","2","0","0"
"COARACI","BA","0","0","4","0","0"
"COARI","AM","2","0","0","0","0"
"COCALZINHO DE GOIAS","GO","1","0","3","0","0"
"COCOS","BA","1","0","0","0","0"
"CODO","MA","0","0","1","0","0"
"COLARES","PA","0","0","1","0","0"
"COLATINA","ES","1","1","0","0","1"
"COLINAS DO TOCANTINS","TO","0","0","1","0","0"
"COLOMBO","PR","4","2","3","0","0"
"CONCEICAO DO COITE","BA","1","1","0","0","0"
"CONCEICAO DO JACUIPE","BA","2","0","0","0","0"
"CONCORDIA DO PARA","PA","0","0","1","0","0"
"CONDE","BA","0","0","1","0","0"
"CONFRESA","MT","1","0","0","0","0"
"CONSELHEIRO LAFAIETE","MG","1","0","0","0","0"
"CONSELHEIRO PENA","MG","1","0","0","0","0"
"CONTAGEM","MG","10","2","11","0","0"
"CONTENDA","PR","0","0","1","0","0"
"CORACAO DE JESUS","MG","1","0","0","0","0"
"CORACAO DE MARIA","BA","1","0","0","0","0"
"CORBELIA","PR","0","2","0","0","0"
"CORNELIO PROCOPIO","PR","2","0","0","0","0"
"CORONEL BICACO","RS","1","0","0","0","0"
"CORREIA PINTO","SC","1","0","0","0","0"
"CORRENTINA","BA","0","0","0","0","3"
"CORUMBA","MS","2","0","2","0","0"
"CORUMBAIBA","GO","0","0","1","0","0"
"COSMOPOLIS","SP","1","0","0","0","0"
"COSMORAMA","SP","1","2","0","0","0"
"COSTA RICA","MS","1","0","1","0","1"
"COTIA","SP","9","1","6","0","1"
"COXIM","MS","2","0","0","0","0"
"CRATEUS","CE","1","0","0","0","0"
"CRATO","CE","1","0","1","0","0"
"CRAVINHOS","SP","0","0","2","0","0"
"CRICIUMA","SC","4","1","3","0","0"
"CRISTALINA","GO","0","1","0","0","0"
"CRUZ","CE","1","0","0","0","0"
"CRUZ DAS ALMAS","BA","0","2","2","0","0"
"CRUZEIRO DO SUL","AC","3","0","0","0","0"
"CRUZILIA","MG","0","0","0","0","1"
"CUBATAO","SP","2","0","1","0","0"
"CUBATI","PB","0","0","1","0","0"
"CUIABA","MT","18","3","22","0","1"
"CUNHA","SP","0","0","1","0","0"
"CUPIRA","PE","1","0","0","0","0"
"CURITIBA","PR","81","13","74","0","4"
"CURITIBANOS","SC","2","0","1","0","0"
"CURIUVA","PR","0","0","1","0","0"
"CURVELO","MG","4","0","1","0","0"
"CUSTODIA","PE","1","0","0","0","0"
"DAMOLANDIA","GO","0","1","0","0","0"
"DELTA","MG","1","0","0","0","0"
"DIADEMA","SP","8","0","0","0","0"
"DIAMANTE DO NORTE","PR","1","0","0","0","0"
"DIAMANTINO","MT","0","0","1","0","0"
"DIVINOPOLIS","MG","2","0","2","0","0"
"DOIS IRMAOS","RS","0","0","1","0","0"
"DOIS VIZINHOS","PR","1","0","0","0","0"
"DOMINGOS MARTINS","ES","0","0","1","0","0"
"DOMINGOS MOURAO","PI","1","0","0","0","0"
"DOM SILVERIO","MG","0","1","0","0","0"
"DORES DE CAMPOS","MG","1","0","0","0","0"
"DOURADOS","MS","7","0","3","0","0"
"DOVERLANDIA","GO","1","0","1","0","0"
"DRACENA","SP","1","0","3","0","0"
"DUARTINA","SP","0","0","1","0","0"
"DUQUE DE CAXIAS","RJ","5","1","10","0","1"
"EMBU DAS ARTES","SP","6","0","0","0","0"
"EMBU GUACU","SP","1","1","0","0","0"
"ENTRE RIOS","BA","4","0","0","0","0"
"ENTRE RIOS DE MINAS","MG","2","0","0","0","0"
"ERECHIM","RS","0","0","0","0","1"
"ERVAL GRANDE","RS","1","0","0","0","0"
"ESMERALDAS","MG","0","0","1","0","0"
"ESPIRITO SANTO DO PINHAL","SP","1","0","0","0","0"
"ESPLANADA","BA","1","0","0","0","0"
"ESTANCIA VELHA","RS","2","0","0","0","0"
"ESTEIO","RS","2","0","2","0","0"
"ESTREITO","MA","1","0","0","0","0"
"ESTRELA","RS","1","0","1","0","0"
"EUNAPOLIS","BA","2","0","0","0","0"
"EUSEBIO","CE","0","2","2","0","1"
"EXU","PE","1","0","0","0","0"
"FAMA","MG","0","1","0","0","0"
"FARROUPILHA","RS","0","0","1","0","0"
"FAXINAL","PR","1","0","0","0","0"
"FAZENDA RIO GRANDE","PR","1","2","6","0","0"
"FAZENDA VILANOVA","RS","1","0","0","0","0"
"FEIJO","AC","0","0","1","0","0"
"FEIRA DE SANTANA","BA","8","3","14","0","1"
"FERNANDO DE NORONHA","PE","0","0","1","0","0"
"FERNANDOPOLIS","SP","1","0","1","0","0"
"FERRAZ DE VASCONCELOS","SP","0","0","1","0","0"
"FLORES DA CUNHA","RS","0","1","1","0","0"
"FLORESTA DO ARAGUAIA","PA","2","0","0","0","0"
"FLORIANO","PI","0","2","1","0","0"
"FLORIANOPOLIS","SC","17","2","24","0","2"
"FORMIGA","MG","0","1","0","0","0"
"FORMOSA","GO","9","0","4","0","0"
"FORTALEZA","CE","40","10","62","0","6"
"FOZ DO IGUACU","PR","4","1","4","0","2"
"FRAIBURGO","SC","0","0","0","2","0"
"FRANCA","SP","12","6","12","0","1"
"FRANCISCO BELTRAO","PR","0","1","2","0","0"
"FRANCISCO MORATO","SP","1","0","0","0","0"
"FRANCO DA ROCHA","SP","1","0","2","0","0"
"FRUTA DE LEITE","MG","0","0","1","0","0"
"FRUTAL","MG","1","0","2","0","0"
"FUNDAO","ES","2","0","0","0","0"
"GAMELEIRA","PE","0","2","0","0","0"
"GANDU","BA","1","0","1","0","0"
"GARANHUNS","PE","0","0","2","0","0"
"GARCA","SP","1","0","0","0","0"
"GARIBALDI","RS","0","0","2","0","0"
"GARUVA","SC","0","0","3","0","0"
"GASPAR","SC","0","3","1","0","0"
"GLORINHA","RS","0","0","1","0","0"
"GOIANIA","GO","45","12","39","1","9"
"GOIATINS","TO","1","0","0","0","0"
"GOIATUBA","GO","3","0","3","0","0"
"GOVERNADOR VALADARES","MG","4","1","7","0","0"
"GRACA","CE","0","0","1","0","0"
"GRAJAU","MA","1","0","0","0","0"
"GRAMADO","RS","0","1","2","0","0"
"GRAO MOGOL","MG","1","0","0","0","0"
"GRAVATAI","RS","2","1","4","0","3"
"GROSSOS","RN","1","0","0","0","0"
"GUADALUPE","PI","2","0","0","0","0"
"GUAIBA","RS","1","0","1","0","0"
"GUAIRA","SP","1","0","0","0","0"
"GUANAMBI","BA","2","0","0","0","0"
"GUANHAES","MG","2","0","0","0","0"
"GUAPIARA","SP","0","0","1","0","0"
"GUAPIMIRIM","RJ","1","0","0","0","0"
"GUARACIABA","SC","0","1","0","0","0"
"GUARACIABA DO NORTE","CE","1","0","0","0","0"
"GUARAI","TO","1","0","0","0","0"
"GUARAMIRANGA","CE","1","0","0","0","0"
"GUARAPARI","ES","2","0","6","0","0"
"GUARAPUAVA","PR","1","1","1","0","0"
"GUARARAPES","SP","1","0","0","0","0"
"GUARATINGA","BA","1","0","0","0","0"
"GUARATINGUETA","SP","1","1","1","0","0"
"GUARATUBA","PR","1","0","0","0","1"
"GUAREI","SP","0","1","0","0","0"
"GUARUJA","SP","5","0","4","0","1"
"GUARULHOS","SP","25","1","26","0","4"
"GUAXUPE","MG","0","0","4","0","0"
"GURUPA","PA","1","0","0","0","0"
"GURUPI","TO","1","1","0","0","0"
"HERVAL D OESTE","SC","0","0","1","0","0"
"HOLAMBRA","SP","1","0","0","0","0"
"HORIZONTINA","RS","0","0","1","0","0"
"HORTOLANDIA","SP","3","2","1","0","1"
"HUMAITA","AM","0","0","1","0","0"
"IBIPORA","PR","1","0","0","0","0"
"IBIRA","SP","0","0","1","0","0"
"IBIRAPUA","BA","0","0","0","1","0"
"IBIRITE","MG","5","0","0","0","0"
"IBIRUBA","RS","0","0","1","0","0"
"IBIUNA","SP","1","0","4","0","0"
"ICAPUI","CE","0","0","1","0","0"
"ICARA","SC","1","0","0","0","0"
"ICO","CE","1","0","0","0","0"
"ICONHA","ES","0","1","0","0","0"
"IGACI","AL","1","0","0","0","0"
"IGAPORA","BA","0","0","1","0","0"
"IGARACU DO TIETE","SP","1","0","0","0","0"
"IGARAPAVA","SP","0","0","2","0","0"
"IGARAPE","MG","1","0","0","0","0"
"IGUABA GRANDE","RJ","1","0","1","0","0"
"IGUATU","CE","1","0","0","0","0"
"IJUI","RS","2","0","0","0","0"
"ILHEUS","BA","0","0","2","0","0"
"IMBE","RS","0","1","0","0","0"
"IMBITUBA","SC","0","0","1","0","0"
"IMPERATRIZ","MA","11","0","10","0","0"
"INACIOLANDIA","GO","2","0","0","0","0"
"INCONFIDENTES","MG","0","1","0","0","0"
"INDAIATUBA","SP","4","1","10","0","2"
"INDEPENDENCIA","CE","2","0","0","0","1"
"INHUMAS","GO","1","0","0","0","0"
"IPANEMA","MG","1","0","0","0","0"
"IPAPORANGA","CE","1","0","0","0","0"
"IPATINGA","MG","4","0","3","0","1"
"IPIRA","BA","0","1","0","0","0"
"IPORA","GO","1","0","1","0","0"
"IPUBI","PE","4","0","0","0","0"
"IRACEMA","CE","1","0","0","0","0"
"IRACEMAPOLIS","SP","0","0","2","0","0"
"IRAPUA","SP","3","0","0","0","0"
"IRECE","BA","2","1","2","0","0"
"IRITUIA","PA","0","2","0","0","0"
"ITABAIANA","SE","0","0","1","0","0"
"ITABELA","BA","2","0","1","0","0"
"ITABIRA","MG","0","0","1","0","0"
"ITABIRITO","MG","2","0","1","0","0"
"ITABORAI","RJ","2","0","4","0","0"
"ITABUNA","BA","4","0","2","0","0"
"ITACARE","BA","1","0","0","0","0"
"ITACOATIARA","AM","3","0","0","0","0"
"ITAGIMIRIM","BA","2","0","0","0","0"
"ITAGUACU","ES","0","0","1","0","0"
"ITAGUARA","MG","1","0","1","0","0"
"ITAGUARI","GO","0","1","0","0","0"
"ITAI","SP","2","0","0","0","0"
"ITAIBA","PE","0","0","0","0","3"
"ITAITINGA","CE","1","0","0","0","0"
"ITAJAI","SC","5","1","7","0","1"
"ITAJOBI","SP","1","0","0","0","0"
"ITAMARAJU","BA","0","0","1","0","0"
"ITAMBE","BA","0","0","1","0","0"
"ITANAGRA","BA","0","0","1","0","0"
"ITANHAEM","SP","1","1","0","0","0"
"ITAPACI","GO","1","0","0","0","0"
"ITAPECERICA DA SERRA","SP","4","0","1","0","0"
"ITAPECURU MIRIM","MA","3","0","0","0","0"
"ITAPEMA","SC","0","0","2","0","0"
"ITAPETINGA","BA","0","0","1","0","1"
"ITAPETININGA","SP","2","0","1","0","0"
"ITAPEVA","SP","3","0","0","0","0"
"ITAPEVI","SP","3","0","1","0","0"
"ITAPIPOCA","CE","0","1","1","0","0"
"ITAPIRA","SP","0","1","1","0","0"
"ITAPIRANGA","SC","0","0","1","0","0"
"ITAPOLIS","SP","0","1","0","1","0"
"ITAPORA","MS","1","0","0","0","0"
"ITAPORANGA","PB","2","0","0","0","0"
"ITAPURANGA","GO","1","0","0","0","0"
"ITAQUAQUECETUBA","SP","1","1","1","0","2"
"ITARARE","SP","0","0","3","0","0"
"ITARUMA","GO","0","0","0","1","0"
"ITATIBA","SP","2","2","2","0","2"
"ITAUNA","MG","1","0","5","0","0"
"ITU","SP","5","1","2","0","0"
"ITUBERA","BA","1","0","0","0","0"
"ITUIUTABA","MG","1","0","4","0","0"
"ITUMBIARA","GO","1","0","3","0","0"
"ITUPEVA","SP","1","0","0","0","1"
"ITUPORANGA","SC","1","0","0","0","0"
"ITURAMA","MG","0","0","0","0","1"
"IUNA","ES","2","0","0","0","0"
"IVINHEMA","MS","0","1","0","0","0"
"JABOATAO DOS GUARARAPES","PE","9","3","5","0","0"
"JABOTICABAL","SP","1","0","3","1","0"
"JACARACI","BA","1","0","0","0","0"
"JACAREI","SP","0","3","1","0","0"
"JACOBINA","BA","0","0","1","0","0"
"JACOBINA DO PIAUI","PI","0","2","0","0","0"
"JACUNDA","PA","1","0","0","0","0"
"JACUPIRANGA","SP","1","0","0","0","0"
"JACUTINGA","MG","0","0","1","0","0"
"JAGUARE","ES","0","0","1","0","0"
"JAGUARIAIVA","PR","0","0","2","0","0"
"JAGUARIUNA","SP","0","0","2","0","0"
